Title;Author;Year;Language;Gender;Fantastique
Harry Potter, la collection complète;J. K. Rowling;1997;Anglais;Female;Oui
Voyage au bout de la nuit;Louis-Ferdinand Céline;1932;Français;Male;Non
À la recherche du temps perdu;Marcel Proust;1913;Français;Male;Non
Cent ans de solitude;Gabriel García Márquez;1967;Espagnol;Male;Oui
Le  Seigneur  des  anneaux, l'intégrale;J. R. R. Tolkien;1954;Anglais;Male;Oui
1984;George Orwell;1949;Anglais;Male;Oui
L'Étranger;Albert Camus;1942;Français;Male;Non
Belle du seigneur;Albert Cohen;1968;Français;Male;Non
Les Misérables;Victor Hugo;1862;Français;Male;Non
La Promesse de l'aube;Romain Gary;1960;Français;Male;Non
Le Comte de Monte-Cristo;Alexandre Dumas;1846;Français;Male;Non
La Horde du Contrevent;Alain Damasio;2004;Français;Male;Oui
Mémoires d'Hadrien;Marguerite Yourcenar;1951;Français;Female;Non
Orgueil et préjugés;Jane Austen;1813;Anglais;Female;Non
L'Insoutenable Légèreté de l'être;Milan Kundera;1984;Tchèque;Male;Non
Le Cycle de Fondation;Isaac Asimov;1942;Anglais;Male;Oui
La Vie devant soi;Romain Gary (Emile Ajar);1975;Français;Male;Non
Crime et Châtiment;Fiodor Dostoïevski;1867;Russe;Male;Non
Madame Bovary;Gustave Flaubert;1857;Français;Male;Non
L'Écume des jours;Boris Vian;1947;Français;Male;Oui
Le Petit Prince;Antoine de Saint-Exupéry;1943;Français;Male;Oui
Le Rouge et le Noir;Stendhal;1830;Français;Male;Non
Le Maître et Marguerite;Mikhaïl Boulgakov;1967;Russe;Male;Oui
Les Frères Karamazov;Fiodor Dostoïevski;1880;Russe;Male;Non
La Peste;Albert Camus;1947;Français;Male;Non
La Nuit des temps;René Barjavel;1968;Français;Male;Oui
La Guerre et la Paix;Léon Tolstoï;1864;Russe;Male;Non
Martin Eden;Jack London;1909;Anglais;Male;Non
Les Raisins de la colère;John Steinbeck;1939;Anglais;Male;Non
